subject,birthdate,deathdate,age_at_death,species,sex,social_environment,housing,diet
Al-Ch-23,1971-07-01,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-24,1981-05-01,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-25,1981-06-29,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-26,1975-05-11,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-27,1981-09-18,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-28,1982-01-15,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-29,1982-06-30,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-3,1970-03-10,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-30,1982-11-06,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-31,1982-12-06,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-32,1982-12-09,2010-10-21,27.87,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-33,1983-01-15,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-34,1983-02-25,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-36,1983-05-28,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-37,1983-06-02,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-38,1983-11-02,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-39,1983-11-18,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-4,1957-09-29,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-40,1970-12-14,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-41,1967-12-15,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-42,1984-02-15,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-43,1984-02-29,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-44,1984-06-12,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-45,1984-09-21,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-46,1979-04-24,2008-03-27,28.92,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-47,1984-12-16,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-48,1985-01-18,2010-07-04,25.46,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-49,1985-04-10,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-5,1972-07-23,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-50,1985-04-17,2009-05-29,24.12,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-51,1985-04-23,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-52,1985-07-09,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-53,1985-11-07,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-54,1985-12-02,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-55,1986-01-14,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-56,1986-02-19,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-57,1986-03-31,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-58,1986-04-04,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-59,1986-04-29,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-6,1974-07-03,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-60,1986-05-05,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-61,1986-05-10,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-62,1986-06-26,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-63,1986-07-03,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-64,1986-07-15,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-65,1986-07-22,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-66,1986-08-14,2011-02-03,24.47,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-67,1986-12-15,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-68,1987-01-05,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-69,1987-07-07,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-7,1973-11-20,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-70,1987-07-07,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-71,1987-10-02,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-72,1987-12-16,2010-11-27,22.95,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-73,1987-12-16,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-74,1986-10-05,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-75,1988-09-10,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-76,1988-12-12,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-77,1990-04-12,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-78,1989-04-08,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-79,1990-04-28,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-8,1974-01-01,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-80,1990-07-06,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-81,1991-01-29,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-82,1991-10-25,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-83,1992-01-15,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-84,1998-01-05,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-85,1998-02-14,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-86,1987-11-26,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-87,1993-03-12,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-88,1993-05-13,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-89,1998-01-28,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-9,1975-03-30,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-90,1998-03-20,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-91,1982-07-15,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-92,1983-06-04,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-93,1984-01-08,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-94,1984-07-16,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-95,1985-04-26,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-96,1985-05-20,2010-10-26,25.43,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-97,1989-03-01,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-98,1989-06-06,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-99,1991-01-09,,,Chimpanzee,Female,Social,Mixed,Chow
Cf-Rh-1,1964-07-28,,,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-10,1966-12-31,2001-02-01,34.09,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-113,1970-04-01,2001-03-21,30.97,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-12,1967-04-13,1986-05-15,19.09,Rhesus Indian-derived macaque,Female,Unknown,Unknown,Chow
Cf-Rh-19,1969-12-06,1996-11-15,26.94,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-2,1965-01-30,1993-12-16,28.88,Rhesus Indian-derived macaque,Male,Unknown,Unknown,Chow
Cf-Rh-20,1970-01-07,1989-06-15,19.44,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-22,1970-01-11,1990-03-15,20.18,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-23,1970-11-07,,,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-26,1971-01-20,1995-10-13,24.73,Rhesus Indian-derived macaque,Male,Unknown,Unknown,Chow
Cf-Rh-27,1971-01-22,1990-05-28,19.35,Rhesus Indian-derived macaque,Female,Social,Outside,Chow
Cf-Rh-28,1971-01-29,1991-06-12,20.37,Rhesus Indian-derived macaque,Female,Unknown,Unknown,Chow
Cf-Rh-3,1965-09-15,1987-03-02,21.46,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-30,1971-03-03,1991-03-18,20.04,Rhesus Indian-derived macaque,Female,Social,Outside,Chow
Cf-Rh-31,1971-05-09,1992-06-17,21.11,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-32,1971-05-15,2003-01-27,31.70,Rhesus Indian-derived macaque,Female,Unknown,Unknown,Chow
Cf-Rh-34,1971-05-25,2004-02-25,32.75,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-36,1971-08-12,2002-05-15,30.76,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-41,1973-04-07,1996-06-28,23.22,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-46,1975-03-20,1995-10-10,20.56,Rhesus Indian-derived macaque,Male,Unknown,Unknown,Chow
Cf-Rh-5,1966-09-29,1991-03-20,24.47,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-50,1975-08-24,2002-05-23,26.75,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-52,1976-02-26,2003-10-28,27.67,Rhesus Indian-derived macaque,Male,Unknown,Unknown,Chow
Cf-Rh-53,1976-03-06,,,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-54,1976-03-15,1998-07-09,22.32,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-57,1975-09-04,2005-02-18,29.46,Rhesus Indian-derived macaque,Male,Unknown,Unknown,Chow
Cf-Rh-6,1966-10-04,1989-11-30,23.15,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-63,1977-04-11,2005-12-13,28.67,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-64,1977-04-17,2005-03-22,27.93,Rhesus Indian-derived macaque,Female,Unknown,Unknown,Chow
Cf-Rh-65,1977-04-22,,,Rhesus Indian-derived macaque,Female,Unknown,Unknown,Chow
Cf-Rh-66,1977-04-24,2003-05-23,26.08,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-67,1977-04-26,1999-12-14,22.63,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-68,1977-05-01,2004-01-07,26.68,Rhesus Indian-derived macaque,Female,Unknown,Unknown,Chow
Cf-Rh-7,1966-10-29,1988-11-26,22.08,Rhesus Indian-derived macaque,Male,Social,Outside,Chow
Cf-Rh-71,1977-05-14,2004-01-15,26.67,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-72,1977-06-13,1999-08-02,22.14,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-73,1977-09-14,2002-10-02,25.05,Rhesus Indian-derived macaque,Female,Unknown,Unknown,Chow
Cf-Rh-74,1978-01-01,2004-06-09,26.44,Rhesus Indian-derived macaque,Male,Unknown,Unknown,Chow
Cf-Rh-75,1978-01-22,2002-03-05,24.12,Rhesus Indian-derived macaque,Male,Unknown,Unknown,Chow
Cf-Rh-76,1978-03-07,1998-02-21,19.96,Rhesus Indian-derived macaque,Male,Unknown,Unknown,Chow
Cf-Rh-77,1978-03-10,2003-05-19,25.19,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-81,1978-04-28,2002-02-20,23.81,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-83,1978-05-14,,,Rhesus Indian-derived macaque,Female,Mixed,Inside,Chow
Cf-Rh-9,1966-11-29,1989-10-03,22.84,Rhesus Indian-derived macaque,Female,Social,Outside,Chow
Cf-Rh-90,1979-04-08,2004-08-20,25.37,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-91,1979-04-21,2002-12-06,23.62,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
Cf-Rh-92,1979-04-23,2005-04-30,26.02,Rhesus Indian-derived macaque,Male,Mixed,Inside,Chow
DL-Dm-10,2005-02-22,,,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-11,2008-07-23,2016-05-11,7.80,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-12,2009-04-03,2016-10-25,7.56,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-13,1993-10-08,1998-12-20,5.20,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-14,1996-04-15,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-15,1998-01-06,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-16,2001-07-30,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-17,2001-09-05,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-18,2003-10-14,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-19,2004-09-10,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-2,1992-10-23,1998-02-05,5.29,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-20,2005-09-05,2016-10-26,11.14,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-21,2005-12-30,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-22,2007-08-21,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-23,2010-05-23,,,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-24,2017-06-07,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-26,2011-11-29,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-29,2010-07-14,,,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-3,1994-06-05,2016-10-25,22.39,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-30,2015-09-08,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-31,2019-08-13,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-32,2008-06-21,,,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-33,2016-09-02,,,Aye-aye,Female,Mixed,Inside,Chow
DL-Dm-34,2009-04-18,,,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-38,2012-07-05,,,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-4,1994-08-25,,,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-43,1986-12-22,,,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-44,2022-01-16,,,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-5,1998-02-08,2008-11-13,10.76,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-6,1998-06-16,,,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-7,2001-01-07,,,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-8,2001-10-25,2015-01-19,13.24,Aye-aye,Male,Mixed,Inside,Chow
DL-Dm-9,2003-09-26,2016-03-29,12.51,Aye-aye,Male,Mixed,Inside,Chow
DL-Eu-10,1989-05-18,2006-09-15,17.33,Lemur,Male,Mixed,Mixed,Chow
DL-Eu-16,1988-03-18,2021-06-10,33.23,Lemur,Female,Mixed,Mixed,Chow
DL-Eu-2,1974-03-27,2003-08-05,29.36,Lemur,Female,Mixed,Inside,Chow
DL-Eu-20,1987-05-07,,,Lemur,Male,Mixed,Mixed,Chow
DL-Eu-4,1988-07-11,2015-12-07,27.41,Lemur,Female,Mixed,Mixed,Chow
DL-Eu-6,1987-05-02,2007-12-03,20.59,Lemur,Female,Mixed,Mixed,Chow
DL-Eu-7,1986-06-12,2015-09-08,29.24,Lemur,Male,Mixed,Mixed,Chow
DL-Eu-8,1986-04-16,2015-03-30,28.96,Lemur,Male,Mixed,Mixed,Chow
DL-FS-1,1986-04-30,2009-09-14,23.37,Sanford's lemur,Female,Mixed,Mixed,Chow
DL-FS-10,1991-04-22,2020-05-13,29.06,Sanford's lemur,Male,Mixed,Mixed,Chow
DL-FS-11,1993-05-12,2007-11-18,14.52,Sanford's lemur,Male,Mixed,Mixed,Chow
DL-FS-3,1988-04-07,2011-03-25,22.97,Sanford's lemur,Female,Mixed,Mixed,Chow
DL-FS-5,1990-05-17,2012-03-23,21.85,Sanford's lemur,Female,Mixed,Mixed,Chow
DL-FS-6,1992-06-30,2013-02-28,20.66,Sanford's lemur,Female,Mixed,Mixed,Chow
DL-FS-7,1985-11-29,2007-10-03,21.84,Sanford's lemur,Male,Mixed,Mixed,Chow
DL-FS-9,1990-07-02,,,Sanford's lemur,Male,Mixed,Mixed,Chow
DL-MA-1,1984-03-29,2014-12-03,30.68,Common black lemur,Female,Mixed,Mixed,Chow
DL-MA-10,1986-04-20,2014-06-10,28.14,Common black lemur,Male,Mixed,Mixed,Chow
DL-MA-11,1987-03-10,2010-02-25,22.96,Common black lemur,Male,Mixed,Mixed,Chow
DL-MA-12,1989-03-15,2013-12-26,24.78,Common black lemur,Male,Mixed,Mixed,Chow
DL-MA-13,1989-03-18,2013-11-06,24.64,Common black lemur,Male,Mixed,Mixed,Chow
DL-MA-14,1991-03-26,2014-02-06,22.86,Common black lemur,Male,Mixed,Mixed,Chow
DL-MA-15,1988-04-03,2007-11-10,19.60,Common black lemur,Female,Mixed,Mixed,Chow
DL-MA-16,1983-03-13,1994-10-29,11.63,Common black lemur,Male,Mixed,Mixed,Chow
DL-MA-17,1985-03-25,1998-01-02,12.77,Common black lemur,Male,Mixed,Mixed,Chow
DL-MA-18,1979-04-10,1996-11-29,17.64,Common black lemur,Male,Mixed,Mixed,Chow
DL-MA-3,1984-06-27,2018-10-24,34.32,Common black lemur,Female,Mixed,Mixed,Chow
DL-MA-4,1989-03-15,2002-01-09,12.82,Common black lemur,Female,Mixed,Mixed,Chow
DL-MA-5,1990-03-08,2011-07-20,21.37,Common black lemur,Female,Mixed,Mixed,Chow
DL-MA-6,1990-03-26,1997-05-14,7.14,Common black lemur,Female,Mixed,Mixed,Chow
DL-MA-7,1993-03-07,2012-06-27,19.30,Common black lemur,Female,Mixed,Mixed,Chow
DL-MA-9,1984-03-22,2018-09-04,34.45,Common black lemur,Male,Mixed,Mixed,Chow
DL-MC-1,1982-09-02,1997-05-23,14.72,Northern giant mouse lemur,Female,Mixed,Inside,Chow
DL-MC-13,1993-02-28,2005-06-30,12.34,Northern giant mouse lemur,Female,Mixed,Inside,Chow
DL-MC-18,1985-05-31,1999-03-18,13.80,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-19,1987-04-21,1998-12-11,11.64,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-2,1983-03-03,1998-02-20,14.96,Northern giant mouse lemur,Female,Mixed,Inside,Chow
DL-MC-20,1987-04-21,2002-11-20,15.58,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-21,1987-06-15,2004-02-02,16.63,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-22,1988-01-14,1997-08-15,9.59,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-23,1988-04-18,2003-07-31,15.29,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-24,1988-04-26,2001-03-21,12.90,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-25,1990-05-12,2005-04-04,14.90,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-26,1991-03-19,2006-01-24,14.85,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-27,1993-02-28,2006-04-29,13.17,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-28,1993-08-02,2010-05-16,16.79,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-3,1986-06-26,2001-08-19,15.15,Northern giant mouse lemur,Female,Mixed,Inside,Chow
DL-MC-30,1994-06-02,2012-06-18,18.04,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-32,1995-09-15,2009-07-16,13.84,Northern giant mouse lemur,Male,Mixed,Inside,Chow
DL-MC-6,1987-05-26,1999-04-20,11.90,Northern giant mouse lemur,Female,Mixed,Inside,Chow
DL-VC-10,1998-01-31,2004-06-24,6.40,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-11,1998-02-22,2017-05-23,19.25,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-12,1999-02-15,2018-10-17,19.67,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-13,1999-02-16,2020-06-09,21.31,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-14,2000-02-11,2017-01-10,16.91,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-15,2000-12-04,2024-08-31,23.74,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-16,2001-03-11,2022-09-07,21.49,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-17,2004-02-08,2007-05-25,3.30,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-18,2004-02-18,2021-08-12,17.48,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-20,2006-02-14,2020-01-14,13.92,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-21,2007-01-27,2022-06-09,15.37,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-22,2007-02-07,2024-02-24,17.05,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-23,2007-12-21,2021-07-17,13.57,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-24,2008-01-03,2025-03-21,17.22,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-25,2009-02-04,,,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-27,1988-01-20,2016-04-01,28.20,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-28,1989-12-28,2025-05-17,35.39,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-29,1991-11-02,2012-01-30,20.24,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-3,1991-01-24,2006-08-29,15.60,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-30,1993-03-04,2020-06-25,27.31,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-31,1994-04-10,2014-11-10,20.58,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-32,1994-09-12,2010-06-22,15.78,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-33,1994-12-04,2008-04-02,13.33,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-35,1995-12-17,2022-12-01,26.96,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-36,1998-02-07,1999-07-14,1.44,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-37,1998-12-19,2025-01-02,26.04,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-38,1999-02-24,2014-10-09,15.62,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-39,2000-02-02,2011-10-15,11.70,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-4,1992-03-02,1995-06-07,3.26,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-40,2000-02-18,2004-07-15,4.40,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-41,2001-02-28,2011-06-02,10.26,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-42,2001-05-04,2003-08-10,2.27,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-43,2001-12-26,2011-06-28,9.51,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-44,2002-04-14,,,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-45,2003-01-07,2011-07-03,8.49,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-46,2003-02-12,2005-05-01,2.21,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-47,2003-03-03,2012-11-27,9.73,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-48,2004-01-15,2009-07-18,5.51,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-49,2004-02-16,2021-08-17,17.50,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-5,1993-02-28,2007-12-14,14.79,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-50,2005-01-07,2016-05-26,11.39,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-52,2007-01-02,2019-04-15,12.29,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-53,2008-01-25,,,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-54,2008-12-31,2015-07-06,6.52,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-55,2009-12-15,,,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-56,2007-08-06,,,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-57,2009-12-25,2017-07-31,7.60,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-58,1972-02-10,2002-09-05,30.57,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-59,2010-02-03,2017-08-08,7.51,Coquerel's sifaka,Male,Mixed,Mixed,Chow
DL-VC-6,1993-04-06,2019-09-20,26.46,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-60,2011-01-16,,,Coquerel's sifaka,Female,Mixed,Mixed,Chow
DL-VC-61,2011-02-15,,,Coquerel's sifaka,Female,Mixed,Mixed,Chow
